,"Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV"
"Colombia","180 000 [150 000-220 000]","180 000 [140 000-220 000]","170 000 [140 000-210 000]","160 000 [130 000-200 000]","160 000 [130 000-190 000]","150 000 [120 000-180 000]","140 000 [120 000-180 000]","140 000 [110 000-170 000]","130 000 [110 000-160 000]","130 000 [100 000-160 000]","120 000 [100 000-150 000]","120 000 [98 000-150 000]","120 000 [95 000-140 000]","120 000 [92 000-140 000]","110 000 [90 000-140 000]","110 000 [88 000-130 000]","110 000 [86 000-130 000]","110 000 [85 000-130 000]","100 000 [83 000-130 000]","98 000 [78 000-120 000]","94 000 [74 000-110 000]"
"Comoros","<200 [<100-<500]","<200 [<100-<500]","<200 [<100-<500]","<200 [<100-<500]","<200 [<100-<500]","<200 [<100-<500]","<200 [<100-<500]","<200 [<100-<500]","<200 [<100-<500]","<200 [<100-<500]","<200 [<100-<500]","<200 [<100-<500]","<200 [<100-<500]","<200 [<100-<500]","<100 [<100-<500]","<100 [<100-<200]","<100 [<100-<200]","<100 [<100-<200]","<100 [<100-<200]","<100 [<100-<200]","<100 [<100-<200]"
"Congo","110 000 [80 000-170 000]","110 000 [79 000-160 000]","110 000 [78 000-140 000]","100 000 [77 000-130 000]","100 000 [77 000-120 000]","98 000 [76 000-120 000]","95 000 [77 000-110 000]","93 000 [77 000-110 000]","92 000 [76 000-110 000]","90 000 [76 000-100 000]","88 000 [76 000-100 000]","87 000 [76 000-98 000]","86 000 [75 000-96 000]","85 000 [75 000-95 000]","84 000 [75 000-94 000]","84 000 [74 000-94 000]","84 000 [74 000-95 000]","84 000 [74 000-96 000]","84 000 [74 000-98 000]","84 000 [73 000-99 000]","85 000 [73 000-100 000]"
"Costa Rica","16 000 [14 000-17 000]","14 000 [13 000-16 000]","13 000 [12 000-14 000]","12 000 [11 000-13 000]","11 000 [9900-12 000]","10 000 [9200-11 000]","9200 [8500-9900]","8600 [8000-9200]","8000 [7400-8600]","7500 [6900-8000]","7000 [6500-7600]","6600 [6100-7100]","6200 [5700-6700]","5800 [5400-6300]","5500 [5000-5900]","5100 [4700-5500]","4800 [4400-5100]","4400 [4000-4800]","4100 [3700-4400]","3700 [3400-4000]","3400 [3200-3700]"
"Côte d'Ivoire","380 000 [340 000-430 000]","390 000 [340 000-440 000]","400 000 [350 000-450 000]","410 000 [360 000-460 000]","420 000 [370 000-480 000]","430 000 [380 000-490 000]","440 000 [390 000-510 000]","460 000 [410 000-530 000]","470 000 [420 000-540 000]","480 000 [430 000-560 000]","500 000 [440 000-580 000]","510 000 [460 000-590 000]","530 000 [470 000-610 000]","550 000 [490 000-630 000]","580 000 [520 000-660 000]","600 000 [540 000-680 000]","630 000 [560 000-710 000]","650 000 [590 000-750 000]","680 000 [600 000-770 000]","700 000 [620 000-790 000]","710 000 [630 000-810 000]"
"Croatia","1700 [1400-2000]","1600 [1300-1900]","1600 [1300-1900]","1500 [1200-1800]","1500 [1200-1700]","1400 [1100-1600]","1300 [1100-1500]","1300 [1000-1500]","1200 [990-1400]","1100 [930-1300]","1100 [880-1200]","1000 [820-1100]","940 [770-1100]","870 [720-1000]","810 [670-940]","750 [610-880]","690 [560-810]","630 [510-740]","570 [<500-670]","510 [<500-610]","<500 [<500-550]"
"Cuba","33 000 [29 000-36 000]","32 000 [28 000-35 000]","30 000 [27 000-33 000]","29 000 [26 000-31 000]","27 000 [25 000-30 000]","26 000 [23 000-28 000]","24 000 [22 000-26 000]","23 000 [20 000-24 000]","21 000 [19 000-23 000]","19 000 [17 000-21 000]","17 000 [16 000-19 000]","16 000 [14 000-17 000]","14 000 [13 000-15 000]","12 000 [11 000-14 000]","11 000 [9800-12 000]","9300 [8400-10 000]","7900 [7100-8600]","6500 [5800-7200]","5300 [4700-5900]","4300 [3800-4800]","3500 [3100-3900]"
"Cyprus","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Czechia","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Democratic People's Republic of Korea","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
