,"Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV"
"Mali","110 000 [90 000-130 000]","110 000 [91 000-130 000]","110 000 [92 000-130 000]","110 000 [93 000-140 000]","110 000 [95 000-140 000]","110 000 [95 000-140 000]","110 000 [96 000-140 000]","120 000 [97 000-140 000]","120 000 [98 000-140 000]","120 000 [98 000-130 000]","120 000 [99 000-130 000]","120 000 [100 000-130 000]","120 000 [100 000-130 000]","120 000 [100 000-130 000]","120 000 [100 000-140 000]","120 000 [100 000-140 000]","120 000 [100 000-140 000]","120 000 [100 000-140 000]","120 000 [100 000-140 000]","120 000 [100 000-140 000]","120 000 [97 000-140 000]"
"Malta","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Mauritania","8500 [7000-11 000]","8600 [7100-11 000]","8600 [7200-11 000]","8800 [7400-11 000]","8900 [7600-11 000]","9000 [7700-11 000]","9200 [7800-11 000]","9300 [8000-11 000]","9500 [8200-11 000]","9600 [8300-11 000]","9600 [8400-11 000]","9600 [8500-11 000]","9600 [8400-11 000]","9500 [8300-11 000]","9400 [8200-11 000]","9200 [8100-10 000]","8900 [7700-10 000]","8600 [7300-9700]","8100 [6900-9200]","7600 [6300-8700]","7000 [5800-8100]"
"Mauritius","14 000 [12 000-16 000]","14 000 [12 000-16 000]","14 000 [12 000-16 000]","14 000 [12 000-16 000]","14 000 [12 000-16 000]","14 000 [12 000-16 000]","13 000 [12 000-16 000]","13 000 [12 000-15 000]","13 000 [12 000-15 000]","13 000 [11 000-14 000]","12 000 [11 000-14 000]","12 000 [10 000-13 000]","11 000 [9700-13 000]","11 000 [9000-12 000]","9800 [8100-12 000]","9000 [7200-11 000]","8200 [6100-9800]","7300 [4900-9100]","6300 [3800-8300]","5300 [2900-7500]","4200 [2000-6700]"
"Mexico","340 000 [300 000-390 000]","340 000 [290 000-380 000]","320 000 [280 000-360 000]","310 000 [260 000-340 000]","300 000 [260 000-330 000]","280 000 [250 000-320 000]","270 000 [240 000-310 000]","260 000 [230 000-290 000]","250 000 [210 000-280 000]","240 000 [200 000-270 000]","230 000 [200 000-260 000]","220 000 [190 000-250 000]","210 000 [180 000-240 000]","200 000 [170 000-230 000]","200 000 [170 000-220 000]","190 000 [160 000-210 000]","180 000 [150 000-210 000]","170 000 [140 000-200 000]","160 000 [140 000-190 000]","150 000 [130 000-180 000]","150 000 [120 000-170 000]"
"Mongolia","650 [580-710]","620 [550-680]","600 [530-660]","580 [510-640]","560 [<500-620]","540 [<500-600]","510 [<500-570]","<500 [<500-530]","<500 [<500-<500]","<500 [<500-<500]","<500 [<500-<500]","<500 [<500-<500]","<500 [<500-<500]","<500 [<500-<500]","<500 [<500-<500]","<500 [<200-<500]","<200 [<200-<200]","<200 [<200-<200]","<100 [<100-<100]","<100 [<100-<100]","<100 [<100-<100]"
"Morocco","22 000 [19 000-24 000]","22 000 [19 000-24 000]","21 000 [19 000-24 000]","21 000 [19 000-24 000]","21 000 [19 000-23 000]","20 000 [18 000-23 000]","20 000 [18 000-22 000]","20 000 [18 000-22 000]","19 000 [17 000-21 000]","19 000 [17 000-21 000]","18 000 [16 000-20 000]","17 000 [16 000-19 000]","17 000 [15 000-19 000]","16 000 [14 000-18 000]","15 000 [13 000-17 000]","14 000 [13 000-17 000]","14 000 [12 000-16 000]","13 000 [11 000-15 000]","12 000 [10 000-14 000]","11 000 [9300-13 000]","10 000 [8500-12 000]"
"Mozambique","2 100 000 [1 700 000-2 500 000]","2 000 000 [1 600 000-2 500 000]","2 000 000 [1 600 000-2 400 000]","1 900 000 [1 600 000-2 400 000]","1 900 000 [1 500 000-2 300 000]","1 800 000 [1 500 000-2 200 000]","1 700 000 [1 400 000-2 200 000]","1 700 000 [1 400 000-2 100 000]","1 600 000 [1 300 000-2 000 000]","1 600 000 [1 300 000-1 900 000]","1 500 000 [1 200 000-1 900 000]","1 400 000 [1 200 000-1 800 000]","1 400 000 [1 100 000-1 700 000]","1 300 000 [1 100 000-1 600 000]","1 200 000 [1 000 000-1 500 000]","1 200 000 [960 000-1 500 000]","1 100 000 [900 000-1 400 000]","1 000 000 [840 000-1 300 000]","960 000 [780 000-1 200 000]","870 000 [710 000-1 100 000]","770 000 [630 000-960 000]"
"Myanmar","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Namibia","210 000 [190 000-230 000]","210 000 [190 000-230 000]","210 000 [190 000-230 000]","200 000 [190 000-220 000]","200 000 [190 000-220 000]","200 000 [190 000-220 000]","200 000 [180 000-210 000]","190 000 [180 000-210 000]","190 000 [180 000-210 000]","190 000 [170 000-200 000]","180 000 [170 000-200 000]","180 000 [170 000-190 000]","170 000 [160 000-190 000]","170 000 [160 000-180 000]","170 000 [160 000-180 000]","160 000 [150 000-180 000]","160 000 [150 000-170 000]","160 000 [150 000-170 000]","150 000 [140 000-170 000]","150 000 [140 000-160 000]","140 000 [130 000-150 000]"
"Nepal","30 000 [28 000-33 000]","30 000 [27 000-32 000]","29 000 [27 000-32 000]","29 000 [27 000-31 000]","29 000 [26 000-31 000]","29 000 [26 000-31 000]","29 000 [26 000-31 000]","29 000 [27 000-32 000]","30 000 [27 000-33 000]","31 000 [28 000-33 000]","31 000 [28 000-34 000]","32 000 [28 000-35 000]","32 000 [28 000-35 000]","31 000 [28 000-34 000]","31 000 [27 000-34 000]","29 000 [26 000-33 000]","27 000 [24 000-31 000]","25 000 [22 000-28 000]","22 000 [19 000-25 000]","19 000 [17 000-21 000]","16 000 [14 000-18 000]"
"Netherlands","24 000 [21 000-27 000]","24 000 [21 000-27 000]","24 000 [21 000-26 000]","23 000 [21 000-26 000]","23 000 [21 000-26 000]","23 000 [20 000-25 000]","22 000 [20 000-25 000]","22 000 [19 000-24 000]","21 000 [19 000-23 000]","20 000 [18 000-23 000]","20 000 [17 000-22 000]","19 000 [17 000-21 000]","18 000 [16 000-20 000]","17 000 [15 000-19 000]","16 000 [14 000-18 000]","15 000 [13 000-17 000]","14 000 [12 000-16 000]","13 000 [11 000-15 000]","12 000 [11 000-14 000]","11 000 [9700-13 000]","10 000 [9000-12 000]"
"New Zealand","3600 [3100-4000]","3500 [3000-4000]","3400 [2900-3800]","3300 [2800-3700]","3200 [2700-3600]","3000 [2600-3400]","2900 [2500-3300]","2800 [2400-3100]","2700 [2300-3000]","2500 [2200-2800]","2400 [2100-2700]","2300 [2000-2500]","2100 [1800-2400]","2000 [1700-2200]","1800 [1600-2100]","1700 [1500-1900]","1600 [1400-1800]","1500 [1300-1600]","1400 [1200-1500]","1300 [1100-1400]","1200 [1100-1300]"
"Nicaragua","12 000 [8700-15 000]","11 000 [8400-14 000]","11 000 [8100-14 000]","10 000 [7900-13 000]","9800 [7600-13 000]","9400 [7300-12 000]","9000 [6900-12 000]","8600 [6500-11 000]","8200 [6200-11 000]","7800 [5900-10 000]","7500 [5500-9700]","7100 [5200-9500]","6800 [4800-9000]","6500 [4500-8600]","6200 [4300-8500]","5900 [4100-8300]","5700 [4000-8000]","5300 [3800-7300]","4900 [3500-6500]","4400 [3100-6200]","3900 [2600-5800]"
"Niger","31 000 [28 000-35 000]","32 000 [28 000-35 000]","32 000 [28 000-35 000]","32 000 [29 000-36 000]","32 000 [29 000-36 000]","33 000 [30 000-37 000]","34 000 [30 000-38 000]","34 000 [31 000-38 000]","35 000 [31 000-39 000]","36 000 [32 000-40 000]","37 000 [33 000-42 000]","38 000 [34 000-44 000]","39 000 [35 000-45 000]","41 000 [36 000-46 000]","42 000 [37 000-48 000]","43 000 [37 000-49 000]","43 000 [38 000-50 000]","43 000 [38 000-50 000]","42 000 [37 000-49 000]","41 000 [35 000-48 000]","39 000 [33 000-46 000]"
"Nigeria","1 700 000 [1 300 000-2 300 000]","1 700 000 [1 300 000-2 300 000]","1 700 000 [1 300 000-2 200 000]","1 700 000 [1 200 000-2 200 000]","1 600 000 [1 200 000-2 200 000]","1 600 000 [1 200 000-2 100 000]","1 500 000 [1 200 000-2 100 000]","1 500 000 [1 100 000-2 000 000]","1 500 000 [1 100 000-2 000 000]","1 400 000 [1 100 000-1 900 000]","1 400 000 [1 100 000-1 900 000]","1 400 000 [1 000 000-1 800 000]","1 300 000 [1 000 000-1 800 000]","1 300 000 [980 000-1 700 000]","1 300 000 [950 000-1 700 000]","1 300 000 [930 000-1 700 000]","1 200 000 [910 000-1 600 000]","1 200 000 [890 000-1 600 000]","1 200 000 [870 000-1 500 000]","1 100 000 [840 000-1 500 000]","1 100 000 [800 000-1 400 000]"
"Norway","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Oman","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Pakistan","200 000 [190 000-210 000]","180 000 [170 000-190 000]","170 000 [160 000-180 000]","160 000 [150 000-160 000]","140 000 [130 000-150 000]","130 000 [120 000-130 000]","110 000 [110 000-120 000]","100 000 [96 000-110 000]","90 000 [84 000-96 000]","79 000 [73 000-83 000]","67 000 [62 000-71 000]","55 000 [51 000-59 000]","42 000 [39 000-45 000]","30 000 [28 000-32 000]","20 000 [18 000-21 000]","10 000 [9600-11 000]","2200 [2100-2400]","1100 [1100-1200]","820 [760-870]","610 [570-650]","<500 [<500-<500]"
"Panama","31 000 [29 000-35 000]","30 000 [28 000-33 000]","29 000 [26 000-31 000]","27 000 [25 000-29 000]","26 000 [24 000-28 000]","25 000 [23 000-27 000]","24 000 [22 000-25 000]","22 000 [21 000-24 000]","21 000 [19 000-22 000]","20 000 [18 000-21 000]","19 000 [17 000-20 000]","18 000 [16 000-19 000]","17 000 [15 000-18 000]","16 000 [15 000-17 000]","15 000 [14 000-16 000]","14 000 [13 000-15 000]","13 000 [12 000-14 000]","13 000 [12 000-13 000]","12 000 [11 000-13 000]","11 000 [10 000-12 000]","10 000 [9600-11 000]"
"Papua New Guinea","55 000 [37 000-71 000]","52 000 [35 000-68 000]","50 000 [34 000-65 000]","47 000 [32 000-61 000]","45 000 [30 000-58 000]","42 000 [29 000-55 000]","40 000 [27 000-52 000]","38 000 [25 000-50 000]","36 000 [24 000-48 000]","34 000 [22 000-46 000]","33 000 [21 000-44 000]","31 000 [20 000-42 000]","29 000 [19 000-40 000]","28 000 [18 000-38 000]","26 000 [17 000-37 000]","24 000 [15 000-34 000]","22 000 [14 000-31 000]","20 000 [12 000-28 000]","17 000 [10 000-23 000]","13 000 [8400-19 000]","10 000 [6300-14 000]"
"Paraguay","19 000 [14 000-26 000]","18 000 [14 000-25 000]","18 000 [14 000-25 000]","17 000 [13 000-24 000]","17 000 [13 000-24 000]","17 000 [13 000-23 000]","16 000 [13 000-23 000]","16 000 [12 000-23 000]","16 000 [12 000-22 000]","16 000 [12 000-22 000]","15 000 [12 000-22 000]","15 000 [11 000-21 000]","15 000 [11 000-21 000]","15 000 [11 000-21 000]","15 000 [11 000-21 000]","14 000 [10 000-20 000]","14 000 [9600-20 000]","13 000 [8600-19 000]","12 000 [7700-18 000]","11 000 [6500-17 000]","10 000 [5400-16 000]"
"Peru","91 000 [80 000-100 000]","87 000 [77 000-100 000]","83 000 [74 000-96 000]","78 000 [70 000-91 000]","74 000 [66 000-86 000]","70 000 [62 000-81 000]","67 000 [59 000-77 000]","64 000 [57 000-75 000]","62 000 [55 000-72 000]","60 000 [53 000-70 000]","59 000 [52 000-68 000]","58 000 [50 000-67 000]","57 000 [49 000-65 000]","56 000 [49 000-64 000]","55 000 [48 000-63 000]","54 000 [48 000-63 000]","54 000 [47 000-63 000]","54 000 [47 000-63 000]","54 000 [47 000-64 000]","55 000 [48 000-65 000]","56 000 [48 000-67 000]"
"Philippines","120 000 [110 000-120 000]","100 000 [92 000-110 000]","85 000 [79 000-92 000]","73 000 [67 000-78 000]","61 000 [56 000-66 000]","51 000 [47 000-55 000]","42 000 [39 000-45 000]","34 000 [31 000-36 000]","27 000 [25 000-29 000]","21 000 [20 000-23 000]","17 000 [15 000-18 000]","12 000 [11 000-13 000]","8800 [8100-9500]","6700 [6200-7200]","5100 [4700-5500]","3900 [3600-4200]","3000 [2700-3200]","2300 [2100-2400]","1700 [1600-1800]","1300 [1200-1400]","990 [920-1100]"
"Poland","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Portugal","42 000 [37 000-45 000]","42 000 [37 000-46 000]","41 000 [37 000-45 000]","41 000 [36 000-45 000]","41 000 [36 000-45 000]","40 000 [36 000-44 000]","40 000 [36 000-44 000]","40 000 [35 000-43 000]","39 000 [35 000-43 000]","39 000 [35 000-42 000]","38 000 [34 000-42 000]","37 000 [33 000-41 000]","37 000 [33 000-40 000]","36 000 [32 000-39 000]","35 000 [31 000-38 000]","34 000 [30 000-37 000]","33 000 [30 000-36 000]","32 000 [29 000-35 000]","31 000 [28 000-34 000]","30 000 [27 000-33 000]","29 000 [26 000-32 000]"
"Qatar","<200 [<100-<500]","<200 [<100-<200]","<200 [<100-<200]","<100 [<100-<200]","<100 [<100-<200]","<100 [<100-<200]","<100 [<100-<200]","<100 [<100-<200]","<100 [<100-<200]","<100 [<100-<200]","<100 [<100-<200]","<100 [<100-<200]","<100 [<100-<200]","<100 [<100-<100]","<100 [<100-<100]","<100 [<100-<100]","<100 [<100-<100]","<100 [<100-<100]","<100 [<100-<100]","<100 [<100-<100]","<100 [<100-<100]"
"Republic of Korea","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Republic of Moldova","14 000 [12 000-18 000]","14 000 [12 000-18 000]","14 000 [12 000-17 000]","14 000 [12 000-17 000]","14 000 [12 000-17 000]","14 000 [12 000-17 000]","14 000 [12 000-17 000]","14 000 [12 000-17 000]","14 000 [12 000-17 000]","14 000 [12 000-16 000]","13 000 [11 000-16 000]","13 000 [11 000-16 000]","12 000 [11 000-15 000]","12 000 [10 000-14 000]","11 000 [9500-13 000]","11 000 [9000-13 000]","9900 [8400-12 000]","9300 [7900-11 000]","8700 [7400-10 000]","8000 [6800-9600]","7100 [6000-8500]"
"North Macedonia","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Romania","19 000 [12 000-25 000]","19 000 [12 000-24 000]","19 000 [11 000-24 000]","18 000 [11 000-23 000]","18 000 [11 000-23 000]","17 000 [10 000-22 000]","17 000 [10 000-21 000]","16 000 [9800-21 000]","16 000 [9500-21 000]","16 000 [9300-20 000]","15 000 [8900-19 000]","14 000 [8600-19 000]","14 000 [8300-18 000]","13 000 [8000-17 000]","12 000 [7600-16 000]","12 000 [7300-15 000]","11 000 [7000-14 000]","10 000 [6700-13 000]","9700 [6400-12 000]","9100 [6000-11 000]","8300 [5600-10 000]"
"Russian Federation","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Rwanda","220 000 [200 000-250 000]","220 000 [210 000-250 000]","220 000 [200 000-250 000]","220 000 [200 000-250 000]","220 000 [200 000-250 000]","220 000 [200 000-240 000]","220 000 [200 000-240 000]","220 000 [200 000-240 000]","220 000 [200 000-240 000]","210 000 [200 000-240 000]","210 000 [200 000-230 000]","210 000 [200 000-230 000]","210 000 [200 000-230 000]","210 000 [190 000-230 000]","210 000 [190 000-230 000]","210 000 [190 000-230 000]","210 000 [190 000-230 000]","210 000 [190 000-230 000]","210 000 [190 000-240 000]","210 000 [180 000-240 000]","200 000 [180 000-230 000]"
"Sao Tome and Principe","530 [<500-640]","540 [<500-650]","550 [<500-660]","560 [<500-680]","570 [<500-690]","590 [<500-700]","600 [<500-720]","620 [510-750]","650 [530-780]","670 [540-810]","690 [550-860]","720 [570-900]","740 [580-940]","760 [600-970]","790 [620-1000]","820 [640-1100]","860 [660-1100]","890 [690-1200]","930 [720-1200]","970 [740-1300]","1000 [750-1300]"
"Saudi Arabia","12 000 [10 000-14 000]","11 000 [9400-12 000]","9900 [8700-11 000]","9000 [8000-10 000]","8200 [7300-9100]","7500 [6700-8200]","6800 [6100-7500]","6200 [5600-6900]","5700 [5200-6300]","5200 [4800-5800]","4800 [4400-5300]","4400 [4100-4900]","4100 [3700-4500]","3800 [3400-4200]","3500 [3200-3900]","3200 [2900-3600]","2900 [2500-3200]","2500 [2100-2900]","2200 [1700-2600]","2000 [1400-2300]","1700 [1200-2100]"
"Senegal","39 000 [35 000-44 000]","40 000 [35 000-44 000]","40 000 [35 000-44 000]","41 000 [36 000-45 000]","41 000 [37 000-46 000]","42 000 [37 000-47 000]","43 000 [38 000-48 000]","44 000 [39 000-50 000]","45 000 [40 000-52 000]","46 000 [40 000-53 000]","47 000 [41 000-54 000]","47 000 [41 000-55 000]","47 000 [41 000-55 000]","47 000 [40 000-55 000]","47 000 [40 000-55 000]","47 000 [40 000-55 000]","45 000 [39 000-53 000]","43 000 [37 000-51 000]","41 000 [35 000-48 000]","38 000 [32 000-45 000]","34 000 [29 000-41 000]"
"Serbia","3300 [2600-4100]","3200 [2500-3800]","3000 [2500-3600]","2900 [2400-3400]","2700 [2300-3100]","2600 [2200-2900]","2400 [2100-2700]","2200 [1900-2600]","2100 [1800-2400]","1900 [1700-2200]","1800 [1500-2000]","1600 [1400-1900]","1500 [1200-1700]","1300 [1100-1500]","1200 [960-1400]","1100 [850-1300]","960 [760-1200]","880 [690-1100]","880 [690-1100]","910 [720-1100]","970 [780-1200]"
"Sierra Leone","80 000 [70 000-90 000]","79 000 [70 000-89 000]","77 000 [69 000-87 000]","76 000 [68 000-85 000]","75 000 [67 000-83 000]","73 000 [66 000-82 000]","72 000 [65 000-80 000]","71 000 [63 000-79 000]","69 000 [62 000-78 000]","68 000 [60 000-76 000]","66 000 [59 000-76 000]","65 000 [57 000-76 000]","64 000 [56 000-75 000]","63 000 [54 000-73 000]","61 000 [53 000-73 000]","60 000 [51 000-71 000]","58 000 [48 000-69 000]","55 000 [46 000-67 000]","52 000 [42 000-64 000]","49 000 [39 000-60 000]","46 000 [36 000-58 000]"
"Singapore","8000 [6800-9100]","8000 [6900-9100]","8000 [6900-9000]","7900 [6900-8900]","7700 [6800-8700]","7600 [6700-8400]","7400 [6500-8200]","7100 [6300-7900]","6800 [6100-7500]","6500 [5800-7100]","6100 [5500-6700]","5800 [5100-6300]","5400 [4800-5900]","5000 [4400-5500]","4700 [4100-5100]","4300 [3900-4800]","4100 [3600-4500]","3800 [3400-4200]","3500 [3200-3900]","3300 [2900-3600]","3000 [2700-3400]"
"Slovakia","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Slovenia","810 [520-1100]","810 [520-1000]","800 [520-1000]","790 [510-1000]","780 [510-1000]","770 [<500-980]","750 [<500-960]","730 [<500-940]","710 [<500-910]","680 [<500-870]","640 [<500-830]","600 [<500-780]","560 [<500-720]","510 [<500-660]","<500 [<500-590]","<500 [<500-520]","<500 [<500-<500]","<500 [<200-<500]","<500 [<200-<500]","<500 [<200-<500]","<200 [<200-<500]"
"Somalia","8700 [7700-9800]","8900 [7900-10 000]","9300 [8200-10 000]","9600 [8500-11 000]","10 000 [8900-11 000]","11 000 [9400-12 000]","11 000 [9900-13 000]","12 000 [10 000-13 000]","12 000 [11 000-14 000]","13 000 [12 000-15 000]","14 000 [12 000-15 000]","14 000 [13 000-16 000]","15 000 [13 000-16 000]","15 000 [13 000-17 000]","15 000 [13 000-17 000]","15 000 [13 000-17 000]","14 000 [12 000-16 000]","13 000 [12 000-15 000]","13 000 [11 000-15 000]","12 000 [9700-13 000]","10 000 [8700-12 000]"
"South Africa","7 800 000 [5 200 000-10 000 000]","7 700 000 [5 100 000-9 900 000]","7 500 000 [5 000 000-9 700 000]","7 400 000 [4 800 000-9 600 000]","7 200 000 [4 700 000-9 400 000]","7 000 000 [4 500 000-9 200 000]","6 800 000 [4 400 000-8 900 000]","6 600 000 [4 200 000-8 600 000]","6 300 000 [4 100 000-8 400 000]","6 100 000 [3 900 000-8 100 000]","5 800 000 [3 700 000-7 800 000]","5 500 000 [3 500 000-7 400 000]","5 300 000 [3 300 000-7 100 000]","5 000 000 [3 100 000-6 800 000]","4 800 000 [2 900 000-6 600 000]","4 600 000 [2 800 000-6 300 000]","4 400 000 [2 700 000-6 000 000]","4 100 000 [2 500 000-5 600 000]","3 800 000 [2 300 000-5 200 000]","3 500 000 [2 100 000-4 800 000]","3 100 000 [1 900 000-4 300 000]"
"South Sudan","180 000 [140 000-230 000]","180 000 [130 000-220 000]","170 000 [130 000-210 000]","170 000 [130 000-210 000]","160 000 [130 000-200 000]","160 000 [120 000-200 000]","160 000 [120 000-200 000]","150 000 [120 000-200 000]","150 000 [120 000-190 000]","150 000 [110 000-190 000]","140 000 [110 000-180 000]","140 000 [110 000-170 000]","130 000 [100 000-170 000]","130 000 [96 000-160 000]","120 000 [91 000-160 000]","120 000 [86 000-150 000]","110 000 [81 000-140 000]","100 000 [76 000-140 000]","99 000 [71 000-130 000]","93 000 [67 000-120 000]","87 000 [62 000-120 000]"
"Spain","150 000 [130 000-170 000]","150 000 [130 000-170 000]","150 000 [130 000-170 000]","150 000 [130 000-160 000]","140 000 [120 000-160 000]","140 000 [120 000-160 000]","140 000 [120 000-150 000]","140 000 [120 000-150 000]","130 000 [120 000-150 000]","130 000 [120 000-140 000]","130 000 [110 000-140 000]","130 000 [110 000-140 000]","120 000 [110 000-130 000]","120 000 [110 000-130 000]","120 000 [100 000-130 000]","110 000 [100 000-120 000]","110 000 [98 000-120 000]","110 000 [95 000-120 000]","100 000 [92 000-110 000]","100 000 [89 000-110 000]","99 000 [87 000-110 000]"
"Sri Lanka","3700 [3400-4100]","3700 [3400-4100]","3700 [3400-4100]","3800 [3400-4200]","3800 [3400-4200]","3800 [3400-4300]","3800 [3400-4300]","3900 [3400-4300]","3900 [3400-4400]","3900 [3400-4400]","3900 [3400-4400]","3900 [3400-4400]","3800 [3400-4400]","3800 [3300-4300]","3600 [3200-4200]","3500 [3000-4000]","3200 [2800-3700]","3000 [2600-3400]","2700 [2300-3100]","2400 [2100-2800]","2100 [1800-2400]"
"Sudan","49 000 [42 000-57 000]","47 000 [41 000-56 000]","46 000 [40 000-55 000]","45 000 [39 000-54 000]","45 000 [39 000-53 000]","44 000 [39 000-53 000]","44 000 [38 000-53 000]","43 000 [38 000-53 000]","43 000 [38 000-52 000]","42 000 [37 000-51 000]","42 000 [37 000-51 000]","41 000 [36 000-49 000]","40 000 [35 000-48 000]","40 000 [33 000-48 000]","39 000 [31 000-47 000]","39 000 [29 000-47 000]","38 000 [26 000-48 000]","37 000 [23 000-49 000]","35 000 [19 000-48 000]","32 000 [15 000-46 000]","30 000 [12 000-44 000]"
"Suriname","5200 [4300-6600]","5200 [4300-6500]","5200 [4300-6500]","5200 [4300-6500]","5100 [4300-6300]","5100 [4300-6100]","5000 [4300-6000]","4900 [4200-5900]","4900 [4200-5800]","4800 [4100-5700]","4700 [4100-5600]","4600 [4000-5400]","4400 [3900-5200]","4300 [3800-5100]","4200 [3600-4900]","4000 [3400-4800]","3800 [3300-4600]","3700 [3100-4500]","3400 [2700-4200]","3200 [2400-4100]","2900 [2200-3800]"
"Sweden","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Switzerland","17 000 [14 000-20 000]","17 000 [14 000-20 000]","17 000 [14 000-20 000]","17 000 [14 000-19 000]","17 000 [14 000-19 000]","17 000 [14 000-19 000]","16 000 [14 000-19 000]","16 000 [14 000-18 000]","16 000 [14 000-18 000]","15 000 [13 000-18 000]","15 000 [13 000-17 000]","15 000 [13 000-17 000]","14 000 [12 000-16 000]","14 000 [12 000-16 000]","13 000 [12 000-15 000]","13 000 [11 000-15 000]","12 000 [11 000-14 000]","12 000 [11 000-14 000]","12 000 [10 000-13 000]","11 000 [9800-13 000]","11 000 [9500-12 000]"
"Syrian Arab Republic","840 [700-980]","780 [650-910]","740 [630-860]","710 [610-840]","690 [600-820]","660 [570-780]","640 [550-740]","610 [530-690]","580 [500-640]","540 [<500-610]","510 [<500-560]","<500 [<500-520]","<500 [<500-<500]","<500 [<500-<500]","<500 [<500-<500]","<500 [<500-<500]","<500 [<500-<500]","<500 [<200-<500]","<200 [<200-<500]","<200 [<200-<500]","<200 [<200-<200]"
"Tajikistan","14 000 [13 000-16 000]","14 000 [13 000-15 000]","13 000 [12 000-15 000]","12 000 [11 000-14 000]","12 000 [11 000-13 000]","11 000 [10 000-12 000]","9900 [9200-11 000]","8900 [8300-9400]","7700 [7200-8200]","6500 [5900-7000]","5200 [4600-5700]","4000 [3400-4400]","2900 [2400-3300]","2000 [1600-2300]","1200 [940-1600]","710 [<500-960]","<500 [<500-540]","<200 [<100-<500]","<100 [<100-<200]","<100 [<100-<200]","<100 [<100-<100]"
"Thailand","500 000 [450 000-550 000]","510 000 [460 000-560 000]","520 000 [470 000-570 000]","530 000 [480 000-580 000]","540 000 [490 000-590 000]","550 000 [500 000-600 000]","560 000 [510 000-620 000]","580 000 [520 000-630 000]","590 000 [540 000-650 000]","610 000 [550 000-670 000]","620 000 [560 000-680 000]","640 000 [580 000-700 000]","650 000 [590 000-720 000]","660 000 [600 000-740 000]","680 000 [610 000-750 000]","690 000 [620 000-780 000]","710 000 [630 000-800 000]","740 000 [660 000-830 000]","760 000 [680 000-860 000]","780 000 [700 000-880 000]","800 000 [710 000-900 000]"
"Timor-Leste","1200 [920-1700]","1200 [930-1600]","1100 [860-1400]","1000 [790-1300]","910 [720-1200]","830 [640-1100]","750 [590-990]","670 [530-910]","600 [<500-860]","540 [<500-800]","<500 [<500-740]","<500 [<500-690]","<500 [<500-640]","<500 [<500-590]","<500 [<200-540]","<500 [<200-<500]","<500 [<200-<500]","<500 [<200-<500]","<500 [<200-<500]","<200 [<100-<500]","<200 [<100-<500]"
"Togo","110 000 [110 000-120 000]","110 000 [110 000-120 000]","110 000 [110 000-120 000]","110 000 [110 000-120 000]","110 000 [110 000-120 000]","110 000 [110 000-120 000]","110 000 [110 000-120 000]","110 000 [110 000-120 000]","110 000 [110 000-120 000]","110 000 [110 000-120 000]","110 000 [110 000-120 000]","110 000 [110 000-120 000]","110 000 [110 000-120 000]","110 000 [110 000-120 000]","110 000 [110 000-120 000]","110 000 [110 000-120 000]","110 000 [110 000-120 000]","110 000 [110 000-120 000]","110 000 [110 000-120 000]","110 000 [100 000-110 000]","110 000 [100 000-110 000]"
